,Pub.Priv,Year,Ave.Act,Num.33-36,Num.28-32,Num.24-27,Num.19-23,Num.17-18,Num.1-16,Num.NA,Num.Tot,Pct.33-36,Pct.28-32,Pct.24-27,Pct.19-23,Pct.17-18,Pct.1-16,Pct.NA,Pct.Tot
WEBSTER,Private,2007,24.2,7,81,147,175,23,5,60,498,0.014056224899598,0.162650602409639,0.295180722891566,0.35140562248996,0.046184738955823,0.01004016064257,0.120481927710843,1
WESTMINSTER,Private,2007,25.2,2,47,71,70,1,0,33,224,0.008928571428571,0.209821428571429,0.316964285714286,0.3125,0.004464285714286,0,0.147321428571429,1
WILLIAM JEWELL,Private,2007,25.2,12,64,104,87,10,0,9,286,0.041958041958042,0.223776223776224,0.363636363636364,0.304195804195804,0.034965034965035,0,0.031468531468532,1
WILLIAM WOODS,Private,2007,22,2,20,41,77,29,7,10,186,0.010752688172043,0.10752688172043,0.220430107526882,0.413978494623656,0.155913978494624,0.037634408602151,0.053763440860215,1
HARRIS-STOWE,Public,2008,15.8869863013699,0,0,2,40,71,179,151,443,0,0,0.00451467268623,0.090293453724605,0.160270880361174,0.404063205417607,0.340857787810384,1
LINCOLN,Public,2008,17.3768939393939,0,5,32,142,109,240,47,575,0,0.008695652173913,0.055652173913044,0.24695652173913,0.189565217391304,0.417391304347826,0.081739130434783,1
MISSOURI SOUTHERN,Public,2008,21.5,3,51,145,333,118,62,59,771,0.003891050583658,0.066147859922179,0.188067444876783,0.431906614785992,0.153047989623865,0.08041504539559,0.076523994811933,1
MISSOURI STATE,Public,2008,24.0926732673267,36,496,773,1092,85,43,93,2618,0.013750954927426,0.189457601222307,0.295263559969442,0.417112299465241,0.032467532467533,0.016424751718869,0.035523300229183,1
MISSOURI UNIV. OF SCI. & TECH.,Public,2008,27.3457286432161,64,420,351,152,7,1,50,1045,0.061244019138756,0.401913875598086,0.335885167464115,0.145454545454545,0.006698564593301,0.000956937799043,0.047846889952153,1
MISSOURI WESTERN,Public,2008,20.280193236715,0,56,185,399,197,198,105,1140,0,0.049122807017544,0.162280701754386,0.35,0.17280701754386,0.173684210526316,0.092105263157895,1
NORTHWEST,Public,2008,22.0263157894737,4,121,349,756,187,65,55,1537,0.002602472348731,0.078724788549122,0.227065712426805,0.491867273910215,0.121665582303188,0.042290175666884,0.035783994795055,1
SOUTHEAST,Public,2008,22.6107184923439,14,181,435,836,186,46,130,1828,0.007658643326039,0.099015317286652,0.237964989059081,0.457330415754923,0.101750547045952,0.025164113785558,0.071115973741794,1
TRUMAN,Public,2008,27.5667466027178,122,489,449,188,3,0,83,1334,0.091454272863568,0.366566716641679,0.336581709145427,0.140929535232384,0.002248875562219,0,0.062218890554723,1
UCM,Public,2008,22.1,5,108,372,809,170,47,102,1613,0.003099814011159,0.066955982641042,0.230626162430254,0.50154990700558,0.105393676379417,0.029138251704898,0.06323620582765,1
UMC,Public,2008,25.4564619615032,143,1389,2174,1665,73,11,327,5782,0.024731926668973,0.240228294707714,0.375994465582843,0.287962642684192,0.012625389138706,0.001902455897613,0.056554825319959,1
UMKC,Public,2008,23.9741379310345,22,202,273,304,82,45,80,1008,0.021825396825397,0.200396825396825,0.270833333333333,0.301587301587302,0.081349206349206,0.044642857142857,0.079365079365079,1
UMSL,Public,2008,23.3,7,57,125,201,34,3,41,468,0.014957264957265,0.121794871794872,0.267094017094017,0.42948717948718,0.072649572649573,0.006410256410256,0.087606837606838,1
AVILA,Private,2008,22,1,13,38,101,17,0,13,183,0.005464480874317,0.07103825136612,0.207650273224044,0.551912568306011,0.092896174863388,0,0.07103825136612,1
CENTRAL METHODIST - CLAS,Private,2008,22,0,16,58,174,42,3,9,302,0,0.052980132450331,0.19205298013245,0.576158940397351,0.139072847682119,0.009933774834437,0.029801324503311,1
COLLEGE OF THE OZARKS,Private,2008,22,0,16,81,133,29,5,10,274,0,0.058394160583942,0.295620437956204,0.485401459854015,0.105839416058394,0.018248175182482,0.036496350364964,1
COLUMBIA,Private,2008,22,12,32,41,62,19,0,41,207,0.057971014492754,0.154589371980676,0.198067632850242,0.29951690821256,0.091787439613527,0,0.198067632850242,1
CULVER-STOCKTON,Private,2008,21.7,0,16,39,120,35,5,12,227,0,0.070484581497797,0.171806167400881,0.52863436123348,0.154185022026432,0.022026431718062,0.052863436123348,1
DRURY,Private,2008,25.2,1,90,66,144,0,0,258,559,0.001788908765653,0.161001788908766,0.118067978533095,0.257602862254025,0,0,0.461538461538462,1
EVANGEL,Private,2008,22.8,2,35,90,95,29,21,66,338,0.005917159763314,0.103550295857988,0.266272189349112,0.281065088757396,0.085798816568047,0.062130177514793,0.195266272189349,1
FONTBONNE,Private,2008,21.8,0,8,47,83,28,6,19,191,0,0.041884816753927,0.246073298429319,0.43455497382199,0.146596858638743,0.031413612565445,0.099476439790576,1
HANNIBAL- LAGRANGE,Private,2008,20,0,9,27,77,33,12,40,198,0,0.045454545454546,0.136363636363636,0.388888888888889,0.166666666666667,0.060606060606061,0.202020202020202,1
LINDENWOOD,Private,2008,22.3,4,79,142,486,84,5,309,1109,0.003606853020739,0.071235347159603,0.128043282236249,0.438232642019838,0.075743913435528,0.004508566275924,0.278629395852119,1
MARYVILLE,Private,2008,24.2,4,48,119,141,2,3,36,353,0.011331444759207,0.135977337110482,0.337110481586402,0.39943342776204,0.005665722379603,0.008498583569405,0.101983002832861,1
MISSOURI BAPTIST,Private,2008,21.3,0,14,29,84,31,10,36,204,0,0.068627450980392,0.142156862745098,0.411764705882353,0.151960784313725,0.049019607843137,0.176470588235294,1
MISSOURI VALLEY,Private,2008,18.9,1,3,25,120,92,80,102,423,0.002364066193853,0.00709219858156,0.059101654846336,0.283687943262411,0.217494089834515,0.189125295508274,0.24113475177305,1
PARK,Private,2008,22.4,1,27,44,57,15,22,91,257,0.003891050583658,0.105058365758755,0.171206225680934,0.221789883268482,0.058365758754864,0.085603112840467,0.35408560311284,1
ROCKHURST,Private,2008,25,6,92,123,110,13,2,12,358,0.016759776536313,0.256983240223464,0.343575418994413,0.307262569832402,0.036312849162011,0.005586592178771,0.033519553072626,1
SAINT LOUIS,Private,2008,26.4,62,472,502,313,20,2,259,1630,0.038036809815951,0.289570552147239,0.307975460122699,0.192024539877301,0.012269938650307,0.001226993865031,0.158895705521472,1
SOUTHWEST BAPTIST,Private,2008,22.8,8,65,125,171,56,33,58,516,0.015503875968992,0.125968992248062,0.242248062015504,0.331395348837209,0.108527131782946,0.063953488372093,0.112403100775194,1
STEPHENS,Private,2008,22.7,1,20,57,101,23,5,16,223,0.004484304932735,0.089686098654709,0.255605381165919,0.452914798206278,0.103139013452915,0.022421524663677,0.071748878923767,1
WASHINGTON ,Private,2008,32.4,449,402,13,1,0,0,561,1426,0.314866760168303,0.281907433380084,0.009116409537167,0.00070126227209,0,0,0.393408134642356,1
WEBSTER,Private,2008,24,4,68,113,152,26,9,48,420,0.00952380952381,0.161904761904762,0.269047619047619,0.361904761904762,0.061904761904762,0.021428571428572,0.114285714285714,1
WESTMINSTER,Private,2008,25,2,57,77,69,1,0,38,244,0.008196721311475,0.233606557377049,0.315573770491803,0.282786885245902,0.004098360655738,0,0.155737704918033,1
WILLIAM JEWELL,Private,2008,25.5,5,76,84,87,1,0,12,265,0.018867924528302,0.286792452830189,0.316981132075472,0.328301886792453,0.00377358490566,0,0.045283018867925,1
WILLIAM WOODS,Private,2008,22,0,11,28,69,23,2,18,151,0,0.072847682119205,0.185430463576159,0.456953642384106,0.152317880794702,0.013245033112583,0.119205298013245,1
HARRIS-STOWE,Public,2009,15.9256198347107,,,3,34,50,155,170,412,0,0,0.007281553398058,0.08252427184466,0.121359223300971,0.37621359223301,0.412621359223301,1
LINCOLN,Public,2009,17.1632329635499,,5,33,163,124,306,113,744,0,0.006720430107527,0.044354838709678,0.219086021505376,0.166666666666667,0.411290322580645,0.151881720430108,1
